Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000
500,1700,2900,4200,6100,7700,11800,13400,15000,14600,19800,17900,19700,21600,23800,25700,27600,29200,31100,33400,37300,37800,75500,42900,43700,46000,48800,64900,52900,54900,57000,60600,61300,63100,65700,69300,70600,96200,96800,78200,99800,89700,89400,107500,91100,161600,125500,112700,99500,99300,116400,109500,112500,112400,113500,117100,118000,121700,123200,127900,129100,131500,134200,131400,144400,141600,143600,146500,150600,158300,143700,157300,161000,161200,155200,167800,162300,173000,174000,209000,181200,187700,184800,193400,212500,193500,185300,200300,200800,180500,208000,275600,213100,219100,268100,218600,225000,226600,233400,237700
600,1700,2900,4100,6400,7500,11900,13600,12000,14400,20000,18300,19600,21600,23800,25900,27500,29700,32000,33800,41600,38000,40000,41900,44000,53500,48700,66200,52200,55600,52200,60400,61800,63500,67300,69100,70400,93000,75900,78500,113700,85300,89900,84200,91100,136000,118200,98300,100100,94700,119300,108500,115500,112000,114100,117200,120200,123600,121700,126700,129500,130400,122900,136800,138300,142800,143700,147800,149600,150900,154300,158100,148900,161200,166000,166900,169600,173200,172900,211100,180000,187100,185800,174700,239200,193000,195600,199200,201000,205600,207300,279400,212400,186900,366100,220600,224800,226100,231600,234400
600,1700,2900,4200,6000,7300,11500,13500,11300,14400,20600,18200,20000,21700,23500,25600,27500,29500,31700,33500,33000,38000,40100,42200,44000,54200,48700,65300,52400,54600,57500,60400,63800,63800,67400,68600,70000,74900,73700,78800,122900,88300,86800,87500,90400,138000,120200,96200,141400,101600,114800,109400,126800,107000,114300,116900,119400,121800,124500,128600,129400,130400,120600,135400,138600,141500,139600,131600,150100,151000,155000,139300,149200,161500,165100,153100,169000,152100,174500,176400,179200,169100,187100,177800,179500,194200,195000,198700,256100,201900,184000,220900,195000,213400,370800,221000,223200,211200,231300,223100
600,1600,3000,3900,6100,7100,8200,13200,11200,14800,19600,18200,19800,21700,23800,25700,27800,29400,31900,34300,37500,37500,39900,42700,43800,54700,48500,64500,57100,55200,57200,60000,64200,63500,66700,69500,70600,73900,76400,79100,164500,84900,83200,89600,90500,136100,133700,87000,100200,101900,110500,99400,136800,111800,114800,117400,119100,121000,118600,126000,129900,130400,133200,134800,138400,136000,143900,145600,148900,151200,154500,157700,161600,161000,165400,169200,169500,172700,173900,164600,180700,185700,186300,191700,190100,193500,194500,199000,213700,204800,194200,212600,214600,214100,300400,220200,226400,209400,231700,238700
600,1800,2800,3900,5700,7400,8200,13200,11200,14500,16300,18200,19900,21700,24300,25600,28100,29200,31200,33800,37100,37800,40300,42600,44300,47700,50400,64400,53500,55200,57500,64800,66700,61000,66400,68600,72500,75100,76600,78200,121300,95300,87000,79200,83600,133800,114600,97100,96900,102600,118100,111100,134300,111700,113500,116700,112800,123900,110900,130900,130900,129600,133200,135800,137700,142000,143800,137000,148600,151600,138600,159600,144900,161800,165400,169800,156000,172600,175100,165700,213100,168800,163400,192100,189300,193100,195200,182700,175900,205800,206900,211300,212400,213300,305300,199700,223600,225600,203300,232700
600,1600,2800,4100,5900,7300,8300,13500,10900,14400,16600,18200,20100,21600,23900,25300,27200,30900,31800,33700,37500,37900,40200,51700,44200,47500,48500,64800,53700,51100,66900,60200,57200,63800,77800,68400,96900,75200,75800,88000,96500,94400,77200,88600,91400,135700,97400,97100,94900,104900,145800,137200,128800,112100,113100,116700,120500,121800,125800,126800,128600,131200,133700,136200,138500,142400,143800,145400,149200,151000,155900,157500,160700,163400,143000,166500,156700,172400,209700,179100,226600,186100,185900,191100,190300,168700,189200,197900,204000,188900,208800,212400,217100,210500,305100,220800,222800,227900,230300,238600
500,1700,2900,3900,5900,7300,8300,13300,10900,14200,16500,17700,20200,21600,23900,25600,27800,30000,33500,33700,37200,37800,39700,43700,44100,46500,48400,64400,53500,55100,57800,60000,59100,58700,67000,69200,71000,74600,75900,89100,99400,91400,109900,87200,109600,139200,97300,96400,106600,101600,125200,119400,119300,108600,113900,116900,108900,122200,163500,126800,121000,130400,133100,135900,139700,142500,143400,145500,155800,154300,145400,204900,162100,161600,169000,168400,170200,155200,166200,177900,233100,185300,186700,180200,189600,193000,196100,199400,201400,207400,209300,188800,213700,214900,211700,219400,223700,226100,210400,234000
500,1700,3000,3900,6100,7700,8200,13400,11000,14300,16700,17900,19900,22100,23700,25100,38600,31200,30600,34000,37400,38000,39800,42800,41400,46100,48200,65800,69700,55300,58400,60000,68700,64000,69000,68600,70800,74900,68300,92000,101000,105500,120000,103300,105100,164500,96800,97000,109600,101500,93800,123300,109200,111000,101800,116700,118700,107600,124800,126700,129000,129700,134200,134900,138100,142000,134800,138100,148400,152300,154800,157600,187200,140500,165100,167300,169100,162000,174700,178100,188000,185100,185900,191000,174600,192800,168900,181400,197900,204800,182600,196700,217600,213600,226800,219200,222600,226300,232200,205400
700,1600,2700,3900,5900,7500,8400,13200,12500,14400,16500,18000,19900,21100,23900,25700,29700,31400,31700,33600,37400,38200,39800,42700,44300,45600,48900,65300,67500,54800,59100,59800,61600,63700,63100,69000,71400,74000,75500,107300,99500,84100,117300,128200,87600,135200,100100,96600,135500,89200,109400,122700,108900,110700,113700,117100,119700,120600,125600,127400,128600,129900,133400,119600,140900,140700,143700,145100,149700,151000,155200,160900,234200,161400,164600,154300,174000,152700,174300,178500,214600,188600,186200,190300,190800,193700,192500,199300,201700,206600,207200,211000,212500,213800,245800,220800,207900,225500,232400,224100
500,1700,2900,3900,5900,7500,8200,13100,12500,14500,16400,18100,19800,21600,35200,25900,27300,29800,32000,33800,37800,38400,40300,42200,44300,46400,47900,56200,69600,50200,57900,60000,63600,64700,66800,69500,71200,75000,75800,89800,100700,90200,121200,88400,91400,133100,95600,96800,147900,102000,105500,149200,107300,112500,113900,108400,120400,121000,123800,126000,127300,123500,132000,135100,137700,141900,140000,144900,149700,151300,155100,152800,194200,162100,163900,167700,169900,174200,174600,185600,210100,185900,186700,191600,189100,192900,195600,193700,202200,206900,207500,209300,213100,214300,335900,220300,224100,225700,214100,238600
500,1600,2900,3700,6300,7300,8400,13500,12400,14500,16400,18100,19900,21400,21000,25700,27600,29200,28000,34000,36600,37400,40000,42500,48400,46700,48400,55700,68900,54800,57800,60000,62000,63600,60900,69400,79600,69800,75900,85300,99800,93500,122300,95000,92100,128800,96800,101400,151400,101700,105200,107000,108700,111700,113500,116100,120300,113400,124400,127300,129000,131100,119000,122100,138100,137200,143800,146700,147500,151000,151000,158500,259000,162000,164300,166600,169500,172700,163600,176300,207700,161800,169600,191900,191000,176300,193800,200000,201500,196100,206800,184300,212600,199800,338400,219700,222600,225000,232000,221400
500,1600,2900,3900,5900,7400,8200,13300,12700,15800,16400,17900,19600,21700,23700,25200,27000,30800,31400,33700,36400,38300,40000,43300,41400,46900,48200,47500,68900,54900,57900,60000,61700,64400,66900,81500,84700,78400,94600,116800,98600,76100,117900,97000,95800,134000,95600,98500,122800,101200,105400,94200,108300,103100,113200,117100,120000,121300,124800,127000,127900,131900,124500,123800,140100,140800,144400,161300,148200,150800,153800,148400,270700,161700,164400,169400,151600,171900,176600,160900,218900,185400,194300,185300,173100,194400,196200,199100,202500,182700,208600,214700,207900,213200,341100,245300,223200,208600,202700,232100
600,1500,2900,3800,6200,7400,8200,13400,12300,13400,16400,18100,19600,22000,23800,25500,27700,31000,31100,33500,36200,38100,40400,43300,44700,47100,48800,50500,68400,54200,57900,53900,61500,64200,64500,77000,64100,74200,75600,94000,100300,95900,115600,104100,91300,133900,94100,98400,143400,101700,103800,108800,108200,111500,112800,116000,119700,121500,124100,125400,125200,129700,132800,136500,138200,141300,144000,146500,148100,152200,154500,159800,153200,145800,167400,166700,160900,171200,174500,176900,214900,170500,173300,192400,185900,193900,195200,199300,183900,200800,182500,193000,213000,191400,335600,221500,224000,225200,202000,232200
500,1700,2600,4000,6000,7500,8500,13600,12600,13600,16300,17800,19900,21800,23300,25700,27900,29900,31600,33500,36200,43900,40400,42900,44600,47600,49000,51000,70500,54800,57300,60600,61800,63700,67100,80600,75800,75200,73300,88500,101500,98800,118100,93500,97200,122500,95800,97900,144300,102000,148000,106800,108700,111500,113000,116800,120800,122300,125000,126600,128600,132700,133700,135700,139200,141700,142600,147000,151800,133100,155700,139800,163300,161500,163000,167100,170400,172300,174300,175500,183600,166900,183800,192200,190600,192600,195300,176700,202200,205800,228100,211600,215300,212500,221500,203900,200000,226100,206600,203500
