Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000
400,800,1300,2400,3600,5400,7300,7800,9900,12100,13600,17200,22500,32400,46500,38500,40800,37400,41800,42900,44100,52100,59600,58400,68600,68700,83900,87100,95100,100500,105100,104500,114200,118400,131300,139000,139600,150200,273400,177600,282600,314700,295200,352200,265900,230400,352700,236400,260200,245800,265300,348100,304400,535900,318500,331700,345200,566400,363200,407100,385900,404200,426800,419300,512000,438300,465600,487800,517500,491400,627000,542000,587100,565400,590000,610300,600700,628400,684100,710700,689500,683600,727100,764800,748700,767600,835700,795400,827600,875200,918300,872300,893600,957000,987400,982100,988800,1.02E+06,1.03E+06,1.00E+06
400,600,1500,2400,3100,4900,6400,8200,9700,12000,15100,31100,22100,32400,45400,27800,49000,36300,37400,45000,49000,52300,59000,62500,67100,73600,82900,90300,90400,99700,103100,121200,126000,125000,140700,137300,155100,151100,259100,202100,208600,304100,267800,268900,314100,220600,323300,234400,273400,262700,283700,278200,290300,387400,320300,337200,342700,430500,368900,402400,403000,406700,402200,434100,457800,454700,469100,476900,501200,514500,590500,542500,558000,591900,577000,594100,634200,613000,654900,699000,680800,716100,732400,715600,754000,770600,930600,805700,784400,870600,1.14E+06,854200,884600,896200,951600,940400,940200,994700,989600,1.02E+06
400,800,1400,2200,3800,4600,6300,8100,9300,12100,14700,16500,23500,29300,41500,27200,41800,39900,38100,41100,53200,52400,56700,60200,80300,74500,85400,85800,89400,92300,102500,106900,116200,122100,131200,147000,153800,171300,262900,174700,207700,298700,215600,204400,283300,222700,346000,245800,339000,271300,284800,279400,294100,335400,314500,326300,362900,444000,366500,388800,395700,378500,435500,409400,436700,442800,465300,495000,529100,536300,541300,556100,614700,568500,585100,626300,634100,626000,659800,690600,705900,693600,751200,743900,750200,791000,829300,787800,800000,1.91E+06,854500,885300,896500,927300,905500,1.20E+06,1.06E+06,953500,996200,1.05E+06
300,700,1400,1800,3700,4200,5900,7700,10900,11000,15400,17500,22300,33400,40900,28600,50800,35000,52800,40700,46300,54400,58000,63100,68800,76300,74100,142100,94800,95600,99900,113900,112800,118300,139100,130300,146400,235000,269400,165300,187500,299400,213600,208700,243500,219200,239000,239600,411900,273800,270500,290400,290100,300800,323400,338100,350900,421100,370400,346300,399500,512900,404700,419100,444400,444200,454100,461000,517300,509600,531200,563300,605200,713600,572700,634200,614900,628000,667200,749900,691700,740700,722900,733700,771500,783900,766200,806300,832600,1.49E+06,855600,881600,893900,897000,934000,1.79E+06,974300,992600,1.01E+06,1.08E+06
300,800,1400,2400,3400,4900,5900,7500,10400,11500,24200,16300,19700,33400,42100,28100,67600,31700,40900,46500,47700,51900,55900,63200,69700,68100,77600,85000,96000,99700,245800,112100,115100,122900,131400,130300,144800,191800,270100,184800,171700,310400,209500,195700,359900,223200,320500,237000,424100,257800,275600,286000,307100,315400,313200,317200,357300,346500,376200,375900,371400,389800,422200,415300,440500,478400,462600,462700,519900,512300,538400,563700,550900,554400,590000,616700,594100,633800,689800,641200,661000,791000,754400,716400,727900,788200,792900,785200,821000,1.18E+06,864400,1.05E+06,899500,919100,979000,1.64E+06,980400,974500,995100,1.02E+06
500,800,1600,2200,3400,4300,6700,7900,9900,11600,13500,16900,24300,34000,37300,27700,50100,38400,43000,72700,48000,47400,57500,61600,66200,65600,77600,85600,87300,91600,99200,109700,124200,124200,125600,156500,149100,181700,267000,165600,176700,334400,248400,207000,345600,224500,274600,261500,364200,252700,290000,280700,292000,289400,294600,326200,345200,371300,379800,373100,428300,536500,410500,431600,426300,455200,493100,463500,507000,506400,524700,534200,578500,547900,570700,597800,610700,646100,797000,660900,681000,709900,740300,739700,737800,823000,781900,816800,843200,845900,870800,965600,1.16E+06,966000,1.29E+06,1.04E+06,997400,992400,1.14E+06,1.08E+06
300,700,1400,2000,3300,4000,6600,7200,15500,11400,14100,17300,22700,33600,42900,26900,54500,34700,38400,43400,47800,49900,55900,66100,64400,71900,78700,81400,89500,94400,101600,110100,120500,124200,125500,136000,146700,202600,270800,167600,184200,333600,223300,206900,402300,216300,283800,235600,255000,292500,402400,278100,294900,293600,306900,340000,329600,363300,389200,386200,467700,388000,485700,417500,440300,461100,461300,471600,526100,522900,528200,610100,560200,579200,597000,582200,610200,624200,657600,646600,697700,693800,741800,724400,1.38E+06,789600,809200,795000,781500,907300,836800,1.00E+06,882800,996800,944200,972700,993000,984000,1.08E+06,1.04E+06
300,700,1500,2300,2900,4600,6200,7300,9600,12600,15500,15800,22900,33000,46700,29000,34800,34300,36900,43000,52000,51500,58600,63800,65800,74700,78600,91500,91100,116600,199500,115700,115100,142700,126200,145700,178600,186100,254200,167500,177500,317500,203500,203800,349500,224000,245600,242400,257700,276300,298900,283700,312800,327600,312700,335500,381900,358900,366200,387000,503400,405800,535100,416400,460400,443000,485600,470400,562800,506700,532100,545700,553000,569400,588600,1.08E+06,686200,619300,646400,675600,732800,731600,771700,749500,748300,773100,797400,820000,810200,884100,1.05E+06,1.01E+06,932500,913700,923100,988500,967300,977900,1.03E+06,1.10E+06
300,900,1400,2200,3300,5100,5900,7600,9200,13300,15000,14800,22900,36800,49500,27800,30100,34800,36100,47000,46700,49900,54800,65700,59000,74100,81200,85400,88800,101000,161100,107400,116300,150400,131900,133000,144300,156600,269400,407200,194800,465100,206500,200800,375200,224300,269000,240800,250700,290000,306500,293200,289600,290100,318700,352500,337500,359300,372100,410400,382400,410200,469300,437300,445300,435700,472100,477500,495100,498700,529800,571700,552800,568100,570700,599800,622000,628100,663300,642500,692000,675500,767700,723100,844300,779300,806600,797900,803600,857800,887900,948200,902000,913000,928900,1.04E+06,946100,1.03E+06,1.01E+06,1.12E+06
300,900,1500,2000,4700,4200,5800,8000,10500,11900,15500,14600,25500,36100,43400,30800,31900,36600,38800,44600,53400,53000,62000,58100,65600,74300,83900,85800,103900,96400,98300,106800,115000,124900,126600,128000,148100,178800,221700,222200,202200,247200,203200,215900,458600,231400,258800,235800,263200,264100,286400,388100,286700,289900,319300,331600,390000,358600,371700,377900,385200,402200,425800,399600,435300,464300,474000,603900,510900,540200,549800,561000,520500,581300,621200,604200,638600,631300,654400,650400,694400,660700,760700,709100,780600,764400,806000,798600,820900,862300,870100,890100,883100,929700,917800,1.01E+06,936200,1.01E+06,1.11E+06,1.04E+06
