Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
193,506,975,1396,1657,2047,2267,3217,3371,16955,4024,3953,4254,4520,5239,4711,5472,6081,6144,13260,6904,7989,7356,8238,8431,8593,9097,9711,12196,10101,10741,10846,12161,12759,12140,13067,12656,14311,15110,14430,14892,14683,15456,16114,16323,16413,23196,17463,18160,18145,18719,21978,19466,19350,20042,20074,37510,21484,21841,22447,22661,22926,23203,23598,24559,24774,25703,25625,26096,26783,26949,27793,28045,27874,28632,30451,30915,30497,29775,30910,31554,32140,32558,33585,33173,33610,33423,34469,34910,35447,36452,36645,39499,39013,38345,37076,38829,52550,39654,40274,
179,561,869,1363,1602,1991,2504,15018,2772,3066,4117,3599,4248,4274,21504,4807,5461,22380,6104,6853,6855,7933,7727,7925,8313,8561,8747,9528,9701,9970,10452,11079,12115,12815,11928,12554,13281,14324,14735,14200,14726,14976,15979,15936,16093,16437,34213,17598,18350,17940,18661,23017,19809,19266,20217,20544,20983,21333,21922,22023,22684,23225,23298,24101,24176,24937,25269,25915,26283,26632,27428,62337,27719,28192,29278,30623,30944,53803,30425,31055,30581,32455,32922,33640,32961,36506,33217,33875,34420,36259,35949,37285,36960,36703,38435,37406,39140,39487,39917,40236,
151,18863,870,1427,1546,2056,2537,2283,2961,3128,4081,3833,4370,4395,4646,4834,5423,5869,6085,6765,7088,8387,7410,7998,8171,8918,8948,9582,10151,9958,10188,11120,12478,12406,11906,12589,13075,27006,15023,14641,14622,15189,15220,15836,16406,16230,16961,17392,17718,18242,18218,22638,19308,19597,20224,20636,21028,21386,21793,22285,22936,22844,23057,23768,24573,24650,24962,55252,26411,26505,26946,26690,27626,28632,28497,30662,31195,46877,29790,30347,31793,32667,32636,33537,33069,34176,33422,34256,34508,36106,36280,36312,36867,36741,37488,37439,39093,39130,39933,40099,
162,509,984,1168,1592,1882,18912,2260,16379,3108,4371,3636,4367,4282,4607,4999,5308,5662,6335,6827,6723,21240,7625,28688,8328,8618,8753,9430,9810,10192,10504,10966,12334,12354,12142,12490,13145,32215,14624,14195,14561,15166,15345,15947,37521,16886,17050,17193,17985,18584,18427,22364,19592,20253,20501,20312,21189,21072,22081,21773,22718,23216,52339,23442,24417,25245,24944,43365,26509,27154,27146,56133,27470,28392,28820,30561,31088,30255,30111,30754,31591,32417,35349,34347,32754,34969,33774,34305,34123,35926,36247,36297,37062,51033,37993,37300,38843,38724,39339,39455,
229,560,1016,1302,1849,1942,1875,2352,2682,3125,3982,3864,4184,4216,4602,5190,5332,5782,6144,7003,6783,7406,7717,8620,8492,8908,8880,9165,9769,10260,10655,10553,12486,12544,12013,12373,13419,14575,14721,14530,14554,15247,15577,15460,30826,16430,17177,17334,17759,18323,18820,26338,19373,19848,20264,20580,21260,21446,21750,24332,22735,22956,25327,44512,24805,24841,25338,25435,26078,26793,27155,29143,29698,28462,28363,30521,30993,30904,30580,30977,31331,32153,47848,33651,32997,34321,34025,34367,34461,35549,35986,36302,37017,38477,39070,38107,38931,53657,39767,39894,
226,559,1075,1315,1476,2143,1953,2412,2636,3133,17218,3765,4279,4550,4652,4987,5144,5481,6094,6999,6920,7340,7538,8813,8502,8890,9034,9056,9754,9954,10230,10833,12588,12563,12476,12761,13243,27796,15035,14301,14783,14936,15442,15576,16035,16638,16754,17551,17922,18380,18797,21509,19337,19818,20634,20685,20794,21312,21770,43792,22686,23035,25223,25385,25152,24736,24895,25362,25951,26514,27294,31992,50437,27869,28374,30532,30796,30818,30482,30965,30960,32181,33070,33344,32941,34676,33879,34553,34579,35659,57145,36968,37374,38674,38157,37228,38259,68287,39809,40758,
193,499,988,1281,1626,2099,1915,2485,2638,2993,3514,3641,4286,4020,4736,4995,5145,5724,6276,19080,6744,7383,7622,8727,8482,8823,8763,9475,9642,10228,10588,11041,11866,12810,12425,12321,12959,32077,14811,14583,14261,15385,15387,15684,16429,16419,16474,16937,17719,18196,19158,20935,19270,20021,20571,20338,20812,21219,45262,34863,22964,23495,27965,41101,24925,25008,25410,25758,26362,26253,26591,44360,41603,28435,28603,30944,30873,30661,30802,30554,30652,32308,33037,34409,58085,34932,33894,34089,34681,36354,50867,35786,37385,38510,41559,37726,38763,38203,39665,40098,
192,549,931,1178,1661,2114,1991,2130,2662,3082,3319,3659,4114,4451,4771,5014,5462,5695,5969,6603,6493,7789,7531,20795,8050,8483,8935,9165,9621,10101,10709,11081,12295,13061,11893,12675,13114,14432,15415,14073,14847,15268,15807,15860,16359,17052,17126,17384,18086,17979,18133,21759,19453,19632,20540,20564,21276,21731,23731,22319,22864,23000,25993,24289,24511,25228,25492,25315,26254,26728,26633,27124,27623,27983,28521,30355,31203,30188,32633,30745,30167,32439,32773,33730,46098,34703,33734,34359,34213,35511,39045,36676,37341,38780,38110,38176,38089,38693,39952,40528,
242,590,933,1295,1785,1865,1972,2237,2602,3127,3346,3623,4494,4215,4625,4841,5296,5679,6213,6227,6863,8395,7463,7909,8284,8894,9105,9112,9742,10106,10736,11180,11987,12306,12413,12645,13214,14045,14999,14060,14576,14725,15398,15847,15824,16318,17022,16942,17827,18276,18186,21943,19287,19934,20164,20448,20710,21764,34818,22258,23364,22861,41928,24698,48017,24837,25552,25351,25983,26319,27239,26890,27297,27871,28892,30867,31005,31157,30225,30612,30610,32537,32633,33722,32697,34394,34309,34808,34873,36025,36448,36470,36545,38286,37656,37694,39320,38505,39679,40552,
222,527,896,1163,1774,15050,1881,2246,2569,3114,3252,3675,4202,4521,4854,4861,5408,5612,6095,6352,6564,7354,7840,7978,8495,8436,9073,9502,9476,10255,10720,11269,12074,12730,12469,12327,12886,14064,14975,14299,14771,15683,15445,15975,16267,16536,16802,17127,17787,18366,18373,21875,19381,19835,20938,20475,20801,21445,21561,22391,22695,23262,23776,23705,38382,24964,24903,25871,26055,25691,27175,27451,27102,28013,30692,30791,31108,30297,29890,35070,31650,32437,32151,32980,33440,34391,33552,34042,34983,35597,36505,39117,37261,39117,38324,37956,39011,38618,39644,40675,
