Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
150,315,598,831,1169,1317,1682,1990,2277,2509,2799,2988,3463,3815,4285,4509,4712,5380,5192,5494,6129,6326,6464,7091,7361,8045,7986,7911,8181,8734,8862,9377,9683,9958,10445,10506,10802,11286,11574,12081,11983,12261,12935,13567,13649,13244,14026,14317,15262,15415,15267,15940,16225,16351,16754,17125,17170,19964,22243,19748,20575,18711,19383,19371,19810,20366,20445,22389,20511,20804,22141,22032,22342,22605,42931,22783,23994,24428,24340,25766,24097,25383,25214,25664,27473,26592,28207,28474,26912,28180,28495,28787,29328,28749,29626,29671,30499,31291,30035,61564,
126,393,518,865,1163,1377,1652,1976,2270,2619,2760,3027,3388,3786,4254,4737,4779,5181,5298,5526,5834,6314,6721,6676,7282,7796,8029,8010,8717,8511,8970,9331,10091,10192,10233,10392,10596,11304,11513,11857,12355,13094,12814,13117,13782,13612,14136,14347,14825,15052,15588,15005,16551,16397,16875,17156,17088,23293,19364,19321,20321,19059,19208,19268,20137,20292,19804,36086,20642,21289,21149,22703,22303,23260,25440,23565,23633,24984,24599,24431,25614,24837,25261,26350,26812,26707,27285,28379,27877,27617,28117,49913,29245,29389,30561,29440,30572,31816,29859,49398,
125,320,571,994,1069,1354,1657,1982,2201,2547,2915,3006,3444,3614,4200,4939,4850,21467,5149,5590,5781,7002,8310,6981,7506,20325,7722,7922,8372,8795,8967,9568,9776,9711,10555,10625,10852,11508,11888,71331,12255,12653,15026,13089,13570,13663,14055,14104,14530,15493,15726,15830,16106,16520,16635,16984,17059,19944,19771,19828,22476,18958,18965,19306,20022,20239,20201,21370,21278,21080,21202,21768,22649,22910,24316,23290,24529,29999,23713,24354,24825,24855,25032,25758,26615,26156,27606,27753,27025,28475,29006,31322,29251,30324,30200,28967,30765,30806,30965,30993,
147,351,576,938,1234,1376,1622,1870,2273,2530,2954,3085,3374,3605,4368,4845,4555,5142,5380,5634,5955,7873,6524,7083,7096,7225,7609,8244,8386,8593,8862,9189,9694,9785,10626,10721,10647,11648,11714,12422,12467,12985,12463,12452,13777,13584,14224,14740,14658,15176,15738,15854,16006,15689,16843,17220,17661,18780,19238,19901,33924,19101,18548,18892,19656,20218,20431,39807,21103,21682,21626,21721,22290,22157,70704,23595,24366,53503,24123,24897,24575,25927,25325,26418,26233,27047,26930,27762,26865,28037,28810,44381,29158,29474,28914,29309,29679,31864,30975,31050,
124,400,538,817,1212,1372,1753,1813,2239,2508,2793,3213,3374,3622,4247,4743,4653,5046,5398,5519,6158,6067,6611,7021,7295,7350,7798,8137,8508,8730,8983,9810,9744,9758,10534,10820,11718,11681,11660,12217,12597,12292,12809,13068,13585,13938,13989,14622,14559,15012,15182,15956,16699,16283,16769,16994,17304,18720,19182,20221,18623,18657,19587,20036,19974,20212,20567,67484,21376,20828,21893,21367,21911,22620,23459,23590,24562,41645,23790,25011,24178,24976,26500,26280,27192,27794,27324,28300,27532,27976,28392,29189,28969,46623,29433,30509,30607,31498,30578,30600,
136,392,617,865,1232,1249,1749,1906,2181,2591,2698,3306,3329,3798,4229,4826,4824,4893,5233,5616,5914,6244,29410,6890,7601,7557,7677,7787,8406,8474,9417,9377,9913,9819,10282,10492,11047,11332,11571,30738,11963,12635,12845,13027,13596,13987,14294,14651,14287,15318,15133,15384,16349,15750,16504,17186,61185,18962,19649,32882,18594,19558,18856,20130,19622,44342,20734,20605,21671,21671,21855,22113,22469,23101,23424,22955,24778,24740,24094,25265,24990,24152,25432,25627,27333,26515,27924,28311,27985,27552,28560,28910,29584,64686,29468,29894,30142,31614,30939,31121,
124,369,579,842,1168,1316,1696,1926,2237,2686,2834,3028,3498,3680,4207,4444,33189,4872,5127,5594,5902,6496,7252,6707,7305,7551,7751,8284,8628,8474,9062,9554,9754,9964,10334,10662,11565,11088,11363,12761,12761,12469,12777,13121,13484,14071,14001,14051,14926,15378,15448,15059,15858,15876,16455,16603,18699,18534,19466,40109,19344,18355,19073,19660,19804,22124,41993,20750,20848,21168,21741,21423,22989,22502,23897,23039,23432,24135,23627,24485,25156,25144,24904,26645,26226,25883,28298,27598,27727,27629,28240,28094,27299,74620,29934,29479,30607,31613,31024,31666,
143,299,607,926,1121,1386,1650,1884,2096,2585,2742,3117,3505,3735,4475,4748,5825,4777,5399,5546,5760,6223,6910,6802,7159,7547,8220,7895,8795,8716,9324,9391,9712,10263,10548,11144,10586,11264,12062,12841,12147,12725,12732,12938,13787,13602,13998,14120,14358,15175,15211,16251,15834,16179,16531,19409,19016,18885,48379,19715,18510,18683,19688,20023,20182,33742,22153,20742,21201,21650,21989,22065,22288,22539,23046,23166,25009,24376,24851,24564,25591,25289,25622,26126,26770,27271,28290,28700,28480,28249,28298,28935,29059,30159,28958,28998,30587,30091,31240,32027,
161,383,591,911,1167,1372,1673,1955,2102,2526,2942,3076,3438,3772,4523,4796,5230,5054,5260,5588,5831,7253,19683,6908,7338,7577,7980,7800,8385,8895,9054,9210,9186,9822,10571,10906,10900,10934,11494,12779,12071,12678,12412,13372,13342,13520,13816,14308,15094,15388,15305,15313,16165,16613,16180,17251,18683,18584,51799,20067,18765,19042,19539,19891,20315,19975,36822,20818,21222,21513,21361,22431,22185,22366,23657,23180,24190,24597,24427,24791,25696,24836,25909,25694,27018,25669,28203,27730,27770,28570,28634,28436,29546,30239,29032,29685,29639,30236,30792,32225,
127,368,589,828,1228,1359,1639,1866,2096,2498,2837,3018,3647,3694,4390,4693,4982,5082,5368,5631,5916,7569,6872,6988,7309,7595,7815,7820,8524,8749,9008,9072,9972,10165,10049,10703,10988,11243,11707,25639,12038,12309,12525,12338,13580,13965,13992,14215,14724,14847,15214,15738,15963,16088,16675,17331,18719,19006,21016,32439,19258,18715,18929,19346,19924,20388,44274,20373,21021,21533,21648,22367,22320,22547,22359,23737,23851,24116,25159,24189,25506,25464,25904,25788,26592,26263,27235,27534,28043,27853,28292,29312,29149,30474,30201,30167,30278,30494,30165,31146,
