Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
120,205,339,506,736,949,1106,1416,1697,2032,2384,2576,3060,3315,3880,4328,4893,5481,5762,20496,7013,8084,8100,8867,9838,9836,10975,11639,11871,12784,13977,14320,15121,16162,16958,17950,19507,20137,20979,23078,49040,24522,26030,26665,28185,28692,29934,32121,32102,33898,34316,36198,36642,38464,43514,41624,46962,44466,47836,49180,50966,51068,51838,54439,57512,57490,59256,61594,69189,69270,69402,71026,104210,110640,71775,75795,109591,92280,81823,119645,159538,94233,86021,90472,96123,97894,128833,108086,100671,106461,126341,111076,133398,112017,118385,148263,118325,164938,123928,128347,
125,214,340,530,722,926,1129,1465,1738,2105,2224,2702,3049,3739,3839,4560,4838,5720,5874,6446,7226,7779,8124,8887,9424,10558,11005,12179,12360,12825,13652,14500,15953,17015,18899,17380,19378,20794,20452,22164,37451,24601,25113,26882,26062,28357,30762,32604,33901,34294,36881,36484,39239,39221,40502,42536,43887,44581,45341,48935,50774,50520,51768,54853,58744,82989,66458,59904,71417,69857,69076,75504,72564,73106,73325,73901,121712,79749,81096,92422,93039,94573,89308,92440,93960,119734,103056,110175,100370,107650,118137,110102,108908,110318,113282,136365,123011,126168,171925,128985,
114,213,342,472,647,949,1111,1397,1729,2173,2270,2696,3062,3608,3837,4278,5175,5162,5691,6282,7343,7378,8313,8904,9617,9868,11350,11603,12617,13372,14279,15405,15417,16629,18213,18079,18269,20657,21206,22540,23460,24980,25063,26775,26980,27269,28857,31844,31512,34735,34686,35283,37941,40517,40787,41881,44126,43097,48077,47611,50201,49518,55222,54011,53575,62605,82402,82336,68151,68261,71819,136111,89621,73060,73780,75459,78190,78656,81785,103536,96579,94130,89917,91425,96108,98788,124250,109213,109676,107636,167247,108175,112209,116877,119220,113917,121161,167317,125826,130789,
102,203,374,553,742,855,1171,1499,1577,2271,2252,2748,2907,3476,3998,4365,4409,5335,5834,6178,7022,7950,7674,8841,9624,10079,10518,11856,12268,13219,13661,14109,36133,16662,17706,18802,19451,19937,21338,22751,23797,23635,24108,26110,26898,27614,30706,31771,33113,34080,33163,37233,38439,39908,38553,41317,42957,44430,47234,46097,49509,50935,51932,55317,55578,63655,70168,101815,67583,71201,74807,87863,70574,71685,74233,74426,78978,102426,79288,83602,92544,97537,92774,93399,96538,96902,100901,117115,102460,158450,129359,111434,112987,116043,150032,116322,117497,122077,125406,129193,
112,197,338,486,685,904,1161,1430,1645,1957,2388,2799,3088,3227,3797,4282,4690,5290,5347,6146,6699,7521,7952,8502,9909,9768,11363,12544,12744,12722,14072,14798,17343,17103,17051,18120,19063,21350,20913,22573,22950,25233,24779,27214,27340,26786,30590,31520,32461,33531,34443,36876,37933,40282,39768,41382,42475,46578,46691,48392,48960,51133,53888,53877,55059,63751,87418,69378,69190,70362,71005,67583,71348,74040,71389,76038,80324,96248,154368,85621,93440,100994,89635,90140,95150,96819,101673,102965,96870,153968,109539,146084,166683,110960,160079,117791,147845,121871,120042,195801,
104,230,333,539,676,904,1109,1477,1716,2292,2348,2610,3115,3487,3841,4477,4788,4753,6153,6090,6797,7634,8283,9237,9434,10555,10668,11944,12682,12841,14318,15037,50699,17722,18117,18187,19881,20831,21165,22169,24497,24021,24669,26866,28095,28737,30076,32288,32404,34155,34321,37191,38677,40926,39710,42446,43207,45221,47441,49512,48635,53571,55379,52670,57337,64876,64080,69869,73013,67680,71796,66736,67355,74786,72273,74647,76138,146397,117267,83171,93239,86702,89195,91289,127408,143554,102158,99104,99554,100519,156714,123423,110148,148392,121332,115758,134748,122386,127903,134807,
121,197,340,525,689,891,1137,1421,1582,2234,2007,2497,2966,3390,3775,4324,4768,5218,6143,6572,6914,7965,8270,8792,9459,9976,11220,11685,12697,13288,13840,14617,28300,16550,17037,18372,19611,21296,21806,22754,23832,24756,25429,25985,27343,29725,29965,32113,32596,32717,35661,36230,38295,38021,38694,40594,42765,46158,45167,47853,49063,49284,51184,55827,56575,64060,63104,66482,67401,83465,83199,69332,72372,71993,74012,92866,76869,93294,88177,86544,92399,90105,88776,90686,95747,100059,101429,118344,101210,106182,110967,113099,112138,159643,123060,118955,146265,123273,179683,178844,
125,216,321,476,691,887,1125,1228,1781,2210,2414,2652,3063,3492,3917,4360,4877,5412,6113,6043,7160,7452,7908,8634,9418,10034,11051,11629,12817,12082,14636,15520,15295,16690,18853,18116,19334,20602,22068,22340,23409,23731,27368,26066,28176,29305,30468,31088,32607,35330,35619,37629,37051,38490,40703,40716,44273,45524,43805,47126,50862,50943,52551,55031,54740,61220,65323,66005,68303,87810,68518,66925,70189,72918,75966,92856,78202,81151,87733,81130,94340,85293,86957,89900,93354,97854,99630,110619,102466,107964,110071,113673,111090,112483,117162,121452,123090,122618,129204,133950,
107,219,309,489,706,840,1167,1555,1589,1996,2196,2574,3202,3496,3598,3993,4731,5461,6134,6625,6156,7227,8246,9052,9263,9894,11029,11803,12854,13701,13470,14210,16197,16719,42493,19580,20685,19985,21740,21879,23372,26307,25141,24952,28565,29598,30935,31051,31797,35012,34061,37166,37546,41035,37851,41651,43791,42613,47500,49694,50599,50271,49986,53303,55597,61276,65313,66361,69991,84877,86801,69225,109282,68998,71822,73326,96161,99844,96869,82817,94540,90764,88460,90456,93064,144564,96362,102668,101290,105980,112321,110300,113817,111877,124725,120133,124951,139661,173093,133775,
122,194,357,540,657,951,1184,1467,1607,2104,2403,2592,3046,3563,3836,4348,4525,5326,5664,6462,6585,7335,7881,8420,9264,13209,10615,11601,12181,13139,14679,15227,14781,17052,19584,18613,19841,42735,21855,21973,23006,25666,25411,27755,27360,28574,30463,31380,32396,35388,34244,37964,38698,40156,42110,42396,43265,46368,46670,47010,49825,52161,53038,54439,55428,62781,62484,66861,132295,64562,66112,67518,70087,71871,71785,118901,109231,115313,80508,85053,93749,127757,95882,91253,95891,95717,146961,99393,104116,108400,107801,110371,107541,112687,121668,133249,122211,166399,127026,130560,
