Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
224,555,1079,1598,2196,2961,3827,5667,5535,6712,8141,9321,10894,11967,14051,29882,19720,19343,20780,22646,24373,31603,34722,31532,33099,35759,44534,40994,44101,53323,56731,52873,55820,59393,62216,75399,69038,82532,94546,78594,142621,100128,94576,109900,114884,118866,123461,113168,134054,121554,185871,165813,155202,138418,165580,172192,188290,184077,189964,196117,172449,208550,194757,184926,229653,203164,244163,214827,221183,282303,238715,260345,283086,319898,301928,320290,300107,305869,349652,328554,357702,377095,331664,382635,391033,402603,431562,416690,438006,448554,460046,394626,479033,422283,497973,499229,463845,455906,540252,538196,
223,481,1116,1712,2044,2997,3581,5488,5714,37136,7857,9165,10761,12000,13721,15386,19134,18734,20566,22839,24485,31109,33627,30911,33739,35692,44682,41257,44241,53800,50822,52567,55350,58275,62310,75021,68382,105924,94406,79214,119333,100497,121019,109855,113886,117773,124152,112652,134491,120317,145437,144859,155519,139732,166931,173158,166037,184426,190137,215824,175483,208900,257004,187313,228431,202301,240729,218136,224349,270527,241974,245449,291987,310127,302415,323440,288650,339591,337785,348617,358876,375591,338962,382634,392619,400780,422431,372317,440892,439597,459906,394111,488861,421023,499614,497037,442830,457111,540684,539165,
196,548,1127,1571,2125,2916,3616,5536,5716,7726,7930,9398,10388,12147,13402,15293,19495,18251,20538,22436,24538,29802,31375,31337,33578,35821,44054,41330,43548,54058,50206,52505,55340,59173,62077,64254,69331,90239,93761,80081,89960,101263,116805,109025,113896,118122,122743,110851,133894,119719,145344,128866,155477,140238,167123,172923,153032,184848,189302,170873,173595,208696,216663,191544,229489,230246,242320,267909,219153,271897,238406,273515,292017,309588,300858,324794,286089,341331,294309,364020,359438,375762,385187,383538,392277,399926,420822,371166,440399,437491,459415,392705,455641,424881,427314,429730,444901,453263,540220,584276,
214,579,1195,1516,2172,2853,3806,5535,5763,6996,7669,9223,12868,12108,14093,15113,19349,18797,20335,22412,24804,27205,33784,31233,34281,35114,44063,41176,44519,52959,49002,52256,56125,59407,61322,63892,69389,89333,124083,131867,104117,99991,92616,103777,113551,160431,123276,110896,192147,118750,143687,141248,156046,138099,166209,172952,156045,183941,218900,168439,175492,208915,215556,186194,228225,235927,242807,217865,221624,235467,239504,285123,276412,314572,322699,301523,300013,337319,291087,359644,358279,377263,385527,396285,410765,401569,423543,371072,439275,440428,458436,447148,456119,418597,426577,429639,443326,483696,542033,536511,
226,528,1302,1448,2224,2898,3766,5626,5675,7309,8134,9204,30455,11944,13737,15221,19291,18681,20473,22387,24799,28241,36429,30937,33588,36009,38537,41056,44190,53329,49307,53144,55634,58664,61289,66026,68717,90070,82408,85322,96015,100118,90859,95971,114407,102985,124248,111752,134255,119148,144298,150860,155092,138143,203244,344629,154479,185226,190735,169030,174795,244748,216212,187909,229598,235576,239151,215874,219679,231269,238013,297309,244163,300793,315798,325872,331230,294920,339098,358373,359048,375073,385514,378941,402257,416221,420636,368554,440497,437484,461920,467991,455241,443846,475310,535351,451254,465576,540405,526667,
193,508,1155,1562,2106,2925,3835,5725,5535,7239,7950,9323,11351,12068,13564,15205,19500,21426,20276,22747,24651,29247,51515,31574,33605,35415,38732,41420,44319,53003,49789,52533,55695,58778,62756,72950,69566,89765,89753,79206,96716,100103,91477,96459,109437,102249,125226,160628,134411,121076,143481,149799,156887,140325,166532,172358,154700,184650,190330,171561,225233,181719,215906,218562,228714,235662,263476,216454,221298,234462,235306,286111,247465,301064,299646,325049,332701,295325,367515,382889,357938,376169,384746,336670,402127,395346,420017,370448,437513,437583,459577,396350,484746,486961,498363,495693,445812,491768,541258,460681,
190,587,1119,1582,2205,2843,3763,5337,5857,7042,7961,9143,11479,12234,13678,14974,19038,38412,20796,22823,24272,28588,47140,31332,33507,36503,38172,41264,45956,54394,50424,52783,56539,59437,61803,75751,69573,90799,100631,78666,96070,102504,163101,94211,99202,102881,124162,109791,133889,187568,171585,150122,190437,192762,166071,171600,159153,183794,190372,168249,203312,180719,260474,222386,254887,237092,243091,247122,272603,235587,278766,286080,248555,301956,272890,302484,345623,292546,293913,348471,355385,374847,384605,338503,403557,353336,420553,373647,441030,439885,460147,468206,400818,488853,499919,496926,444244,530181,540757,465573,
212,490,1190,1588,2082,2989,3641,5495,5763,7100,8140,9102,24796,12511,13465,15450,19058,33685,20755,22727,24890,31508,35143,31786,33170,35148,38441,41860,44016,45972,49852,51918,55777,59960,61233,75277,68729,90274,87072,151612,126555,110972,115374,95483,99270,102697,123718,109366,134020,138936,161956,150265,155475,160137,166129,172908,153367,210350,190903,220057,174875,179126,215219,221306,199725,235590,209179,249667,272897,236842,277188,285183,279630,301241,273949,279349,324610,329699,291801,348540,357847,375031,383780,358170,401760,412018,419425,372235,437991,437110,458433,485113,402706,489197,496864,497857,442681,580105,542181,536958,
199,532,1274,1537,2201,2964,3813,5315,5820,20878,8070,9271,12037,11937,13579,15191,18907,21127,20191,22822,24107,29251,33713,32078,33383,37081,37343,41694,44352,46548,49274,52934,55889,58467,61536,75452,99933,98232,87107,140383,82011,100684,90269,94263,99504,101926,123901,109244,133674,139263,144345,147355,154660,161193,161913,146409,153520,184043,234102,196718,176143,179606,216777,221804,198825,234683,210826,249089,263089,233824,278180,299250,292069,300644,271956,279190,323672,342909,296135,348796,356523,376501,381301,395088,408995,413654,367734,379847,440029,434099,459829,479930,399248,489147,499656,497783,450362,515755,538658,553378,
190,539,1187,1522,2262,3034,3871,5427,5755,7769,8055,9453,11833,12179,13510,15274,19006,21241,20579,22938,24902,30184,34126,30957,33742,35791,38364,41532,43860,46199,49555,53455,55977,59262,61440,75519,88647,103867,76523,79046,82002,100261,90544,94511,97976,103987,122600,111736,133895,138926,145680,129647,134303,162045,143789,159587,154408,220242,190220,195916,177203,186061,216120,223695,197209,234397,239654,250252,262195,229536,278363,287245,292242,301039,273534,276254,325706,340690,294761,349272,358741,375754,379891,393637,392456,411138,359366,428806,437902,462484,460058,443074,411154,489060,498538,496453,449890,480052,543086,550875,
